Java Lotus Hotel Jember ,Standard Twin Room,"Jl. Gatot Subroto No.47, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",4.5/5,318000,2
Hotel Dafam Fortuna Jember,Standard Room,"Jl. Karimata No.43, Gumuk Kerang, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",4.3/5,346000,7
Hotel Sulawesi,Standard Room,"Jl. Letjen. Suprapto XVIII, Kebonsari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",4.3/5,186000,7
Hotel Sulawesi,Standard Twin Room,"Jl. Letjen. Suprapto XVIII, Kebonsari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",4.3/5,203000,1
Hotel Sulawesi,Deluxe Room,"Jl. Letjen. Suprapto XVIII, Kebonsari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",4.3/5,223000,11
Grand Valonia,Standard Twin Room,"Jl. Tidar Gg Valonia No.1, Sumbersari, Kec. Sumbersari, Kab. Jember, Jawa Timur 68121",4.5/5,257000,15
Luminor Hotel Jember,Superior Room,"Jl. KH Agus Salim No.28, Tegal Besar, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",4.4/5,323000,9
Hotel Cendrawasih,Deluxe Room,"Jl. Cendrawasih No.22, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118",4.0/5,103000,6
Hotel Cendrawasih,Classic Room,"Jl. Cendrawasih No.22, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118",4.0/5,120000,4
Hotel Cendrawasih,Cottage Suite Room,"Jl. Cendrawasih No.22, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68118",4.0/5,238000,2
Hotel Bandung Permai,Standard Twin Room,"Jl. Hayam Wuruk No.38, Sempusari, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 66184",3.9/5,200000,9
Hotel Bandung Permai,Superior Room,"Jl. Hayam Wuruk No.38, Sempusari, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 66184",3.9/5,277000,8
Hotel & Resto GM253,Superior Room,"Jl. Gajah Mada No.253, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",4.4/5,240000,14
Royale Hotel,Superior Room,"Jl. Karimata No. 50, Sumbersari, Kab Jember, Jawa Timur 68121",4.4/5,258000,10
Royale Hotel,Gold Standard Double Room,"Jl. Karimata No. 50, Sumbersari, Kab Jember, Jawa Timur 68121",4.4/5,322000,5
Nabb,gjgjsadg,jkhfjkhfad,4/5,120000,2

bjdbq,dsfwdf,34314,dfs,213123,444444444444
bjdbq,knflwfnlwefn,34314,dfs,324324,3333333
